Imputation_,resilient,EFFORT1,ESCS,UNDREM,METASUM,METASPAM,DISCLIMA,TEACHSUP,DIRINS,PERFEED,STIMREAD,ADAPTIVITY,TEACHINT,JOYREAD,SCREADCOMP,SCREADDIFF,PISADIFF,PERCOMP,PERCOOP,ATTLNACT,COMPETE,WORKMAST,GFOFAIL,EUDMO,SWBP,MASTGOAL,DISCRIM,BELONG,BEINGBULLIED,EMOSUPP
0,0,8,-1.3651,-.94,.98,-.04,-.5148,.385,.1814,1.1225,1.1847,.8329,.6134,-.134,-.1589,-1.126,.9166,.552,.6012,.4667,.7871,1.8164,-.687,.9269,-.5928,.5761,1.1253,.2983,-.7823,-1.7606
0,0,10,-1.2622,-1.64,-1.72,-1.41,.3177,-2.7106,-2.9425,-.7784,-1.6579,2.0073,-1.4867,.2641,.1222,1.2421,-.6451,.7601,-.5442,.024,-.5229,-.1015,.4637,-1.1437,-.5928,-.4347,.5881,-2.062,2.0604,-1.7606
0,0,8,-2.6411, ,-1.72,-1.41,-.0424,-.2023,-.0424,.7743,.5102,.4572,.1744,.1372,-1.0985,-.0697,.2705,.6912,.6012,-.6583,.1956,-.1015,.4637,.2621,-.5928, ,.5881,-.9879,-.7823,.739
0,0, ,-1.9301,-1.64,-1.72,-.96,.2621,-1.1481,-1.0988,-.3253,-.62,-.5786,.1744,-.2704,-.825,-.524,.2705,.6912,-.9391,-.6583,.1956,-.1015,.4637,.2621,-.5928,-.9149,-1.1549,-1.186,.1462,-1.7606
0,0,7,-2.2306,-.6,-.57,-.04,-.6541,.2148,-.7598,-.0363,-.0999,.4572,.1744,.7546,-.7391,.9065,1.6524,.6912,.6012,-1.6139,-.5707,-.1015,.8794,.2621,-.5928,-.4347,1.0167,-.7782,.8233,.739
0,0,8,-1.4922,.8,-.18,-.04,-.0424,1.314,-.4616,.7743,.5102,.4572,.1744,-.2704,-.825,.9065,1.2958,-.6142,-.9391,-.6583,-.2047,-.6545,.4637,-.6723,-.5928,-1.0266,.5881,-.3184,.8615,.739
0,0,9,-2.0692,.1,-.57,.42,.5565,-1.3345,-1.0981,-1.6391,-.3302,-1.4494,-.7972,-.2704,-1.0753,.0755,.2705,2.0378,-.9391,-.6583,-.2047,-.6545,.8794,-.9827,-.5928,-.8444,-1.1549,-1.0481,-.7823,-1.7606
0,1,8,-1.8211,.45,-1.72,1.33,-.3697,1.314,1.8202,-.3253,-2.3003,.4572,.1744,.7178,.1222,-1.8876,-1.272, ,.6012,1.0844,-.9792,-.1015,-.13,-.9827,-.5928,-.4347, ,-.3184,-.7823,.739
0,0,8,-1.2435,.1,-.18,.42,2.0345,-.3971,-.5794,-.3253,-.3644,-.1687,.1744,-.0996,.1222,-.0697,.2705,.6912,.6012,-1.8133,.2653,-.1015,.4637,-.523,-.5928,1.2329,-.5252,-.4415,.2907,-1.7606
0,0,8,-1.3322,.45,.59,.42,.2621,-.7857,-.6245,-1.1311,1.0741,.4572,-.5905,-.4556,-2.4403,.9065,1.6524,2.0378,.6012,-.6583,.1956,.6291,.4637,.2621,1.2386,-.7346,-1.1549,-.5878,.2907,-1.7606
0,1,8,-1.876,.8,.59,1.33,.4922,.385,.6532,.7743,.891,.4572,.6797,-.3875,-.825,.5082,.2705,-.6142,1.3256,.4667,-.2047,.9982,.8794,.2621,1.2386,.0337,-1.1549,-.0633,-.7823,.0721
0,0,8,-2.0904,-1.64,-1.72,-1.41,-.0424,-1.3345,-1.0988,-.3253,-.62,-.5786,.1744,.1372,-.5485,1.2421,.2705,.6912,-.9391,-.6583, ,-.1015,.4637,.2621,-.5928,-.4347,1.1253,-.9879,-.7823,-.6796
0,0,9,-1.7309,1.5,-1.72,.87,.8946,-.2023,-.9726,.7743,1.0741,.4572,.8874,-.0176,-.825,.409,.7192,1.0326,.6012,-.6583,.2653,.0273,.4637,-.9827,-.5928,-.2151,.0963,-.3184,.8615,-.4858
0,0,7,-1.5631,-.25,-1.72,-.5,.4922,-2.7106,-2.0317,-1.6391,-.62,-.5786,-1.0615,-2.7114,-1.8008,-1.8876,1.1904,2.0378,-.9391,-.6583,-.9372,-.6545,1.8905,-.9827,.1038,-.4347,.3228,-1.0627,-.7823,.739
0,0,7,-1.4135,-.6,-.57,.42,.627,-.2023,1.8202,1.5844,.5102,.4572,.1744,1.0123,.6994,-1.126,-.2888,.6912,.6012,-1.1534,2.0054,.487,.5428,.2621,1.2386,.3468,-.6615,.1589,.7703,.739
0,0,10,-2.5658,-.6, ,-1.41,-.3031,-.2023,-.0424,-.3253,2.0871,-.5786,-2.2177,1.0123,.1222,-.0697,-1.272,-.6142,-.9391,-.6583,2.0054,1.8164,-1.109,1.7411,-.5928,.5761,1.5785,-.7362,-.7823,.739
0,0,7,-1.7201,.1,-.18,-.5,2.0345,-.0348,-.0424,-.0363,.7551,.4572,1.8245,-1.1729,-1.4439,-1.8876,-1.272,2.0378,-2.1428,-.6583,-.9792,-.6545,1.8905,.2621,-.5928,-.4347,.5881,-1.5902,1.1211,.739
0,0, ,-1.6475,.45,.59,1.33,2.0345,1.314,1.8202,2.0165,2.0871,2.0073,1.8245,1.0123,.1222,-1.8876,-1.272,.202,.6012,1.0844,.1956,1.8164,-.1748,1.7411,-.5928,1.8524,-1.1549,-.3184,-.7823,-1.7606
0,0,5,-1.6993,-.6,-1.72,-.5,2.0345,.1694,.3183,.7743,1.0741,.4572,1.3209,.3568,.1222,-.0697,.2705,1.563,.6012,.0083,-.2047,-.772,.4637,.2621,-1.1176,-.094,.5881,-.8395,-.7823,-1.7606
0,0,7,-1.8526,-.6, ,-1.41,.5331,.585,.006,.7743,-.62,.1915,.1744,.5572,.1222,-.0697,.2705,.6912,.6012,-.6583,.1956,-.6545,.4637,.2621,-.5928,-.094,-.1088,-.3184,.2907,-1.7606
0,0, ,-2.3027,.1,-.18,-1.41,-.0424,-.5488,-.3001,-.3253,.5102,-.2644,.1744,.2363,-.4089,-.0697,.2705,-.6142,.6012,-.6583,-.9792,-.1015,-.3799,.2621,-.5928,-.2151,.5881,-.445,-.7823,-1.7606
